Topic,TopWords,Document_Count,Strength,Novelty_AvgYear,Heat_RecentRatio,Avg_Citations,HighCited_Count,Strength_Norm,Novelty_AvgYear_Norm,Heat_RecentRatio_Norm,Avg_Citations_Norm,HighCited_Count_Norm,Composite_Index,Frontier_Type,Frontier_Type_v2,Frontier_Type_v3
11,cancer; incidence; risk; gastric; mortality; gc; factors; intake; prevention; dietary,484,0.0158371781028107,2016.9669421487604,0.2334710743801653,77.33264462809917,29,0.3879539415411868,0.5443487872664913,0.3187325104223605,0.5700093108025118,1.0,0.5315230146094067,热点,热点,新兴
0,therapy; eradication; treatment; triple; sequential; regimens; rate; firstline; rates; regimen,1175,0.0384476947743856,2016.434042553192,0.185531914893617,40.502978723404254,15,1.0,0.4992761629162301,0.2468001092184579,0.2521939327624337,0.5172413793103449,0.5212195969969083,一般,一般,潜在
128,dual; va; vonoprazan; therapy; amoxicillin; vonoprazanamoxicillin; mg; eradication; adverse; day,96,0.0031412584666732,2022.3541666666667,0.6875,20.08333333333333,0,0.0442869796279893,1.0,1.0,0.0759860536064501,0.0,0.4631673392060163,热点,热点,热点
1,activity; against; compounds; extract; extracts; antibacterial; mic; gml; inhibitory; vitro,979,0.0320342920715945,2016.6751787538303,0.2288049029622063,36.869254341164456,7,0.8263950398582816,0.5196714521583774,0.3117309501505959,0.2208373222728508,0.2413793103448276,0.4544231366022326,热点,热点,新兴
73,microbiota; microbial; microbiome; gc; gastric; cancer; composition; bacteria; carcinogenesis; diversity,111,0.0036320801020909,2021.027027027027,0.4144144144144144,59.48648648648648,4,0.0575730735163861,0.8877505876618764,0.5902368311055378,0.4160089049607463,0.1379310344827586,0.4423980831624676,热点,热点,热点
3,gc; cancer; expression; tumor; gastric; cells; cell; progression; in; tissues,784,0.0256536108111645,2016.6390306122448,0.2104591836734693,41.18239795918368,11,0.6536758193091231,0.5166140439332604,0.2842033160747023,0.2580568662418115,0.3793103448275862,0.434322178011734,一般,一般,新兴
90,ai; images; learning; accuracy; intelligence; model; artificial; performance; models; machine,111,0.0036320801020909,2022.018018018018,0.5405405405405406,27.43243243243243,1,0.0575730735163861,0.971568562084904,0.7794882740588566,0.1394038623500379,0.0344827586206896,0.4328161200893182,热点,热点,热点
8,drug; nanoparticles; curcumin; release; delivery; chitosan; floating; microspheres; prepared; mucoadhesive,429,0.0140374987729459,2018.2867132867127,0.3286713286713286,41.27738927738928,9,0.3392382639503985,0.6559749720561087,0.4615798811257843,0.2588765777695827,0.3103448275862069,0.4204483774770354,热点,热点,热点
127,microbiome; nucleatum; cancer; microbiota; gut; colorectal; crc; cancers; microbial; fusobacterium,94,0.0030758155819508,2020.351063829788,0.3936170212765957,54.38297872340426,2,0.0425155004428697,0.8305776501758382,0.5590304761504694,0.3719690471664433,0.0689655172413793,0.4010018619506388,热点,热点,热点
9,resistance; antibiotic; metronidazole; clarithromycin; levofloxacin; tetracycline; isolates; susceptibility; strains; amoxicillin,572,0.0187166650305945,2017.152097902098,0.2237762237762237,46.08216783216783,8,0.4658990256864481,0.5600092527385381,0.3041854492989734,0.3003386023433964,0.2758620689655172,0.3988451918497387,热点,热点,新兴
85,cancers; virus; attributable; agents; cancer; hepatitis; infectious; see; infections; hpv,99,0.0032394227937567,2016.1313131313127,0.1616161616161616,127.16161616161617,5,0.0469441984056687,0.4736713217312127,0.2109146748830855,1.0,0.1724137931034483,0.3814631894257895,一般,一般,潜在
107,vonoprazan; vonoprazanbased; vpz; triple; therapy; eradication; vpzbased; ppibased; mg; firstline,108,0.0035339157750073,2020.8425925925928,0.4166666666666667,29.944444444444443,1,0.0549158547387068,0.8721511313109188,0.5936163211582757,0.1610808455001089,0.0344827586206896,0.3757167329333105,热点,热点,热点
48,microbiota; gut; diversity; abundance; microbiome; microbial; composition; 16s; sequencing; bacteria,230,0.0075259317430712,2020.034782608696,0.3304347826086956,34.92173913043478,2,0.1629760850310008,0.8038265984095255,0.4642259324434524,0.2040315688745297,0.0689655172413793,0.3718112837219625,热点,热点,热点
118,microbiota; gut; microbiome; composition; dysbiosis; logg; spp; microbial; diseases; bacteria,91,0.0029776512548673,2019.472527472528,0.2857142857142857,59.24175824175824,4,0.0398582816651904,0.7562710837267509,0.3971231138062331,0.4138970639297507,0.1379310344827586,0.3680960208633534,热点,热点,热点
5,prevalence; infection; age; among; pylori; seroprevalence; population; years; in; participants,544,0.0178004646444815,2015.6433823529408,0.1875,44.10845588235294,12,0.4410983170947741,0.4324021579612228,0.2497532082922013,0.2833067886121543,0.4137931034482758,0.3674057437524816,一般,一般,一般
71,detection; dna; lamp; electrochemical; sensor; amplification; biosensor; limit; nucleic; sensitive,131,0.0042865089493144,2019.2213740458008,0.3969465648854962,36.96183206106871,2,0.0752878653675819,0.7350285379428335,0.5640264349713269,0.2216362060619569,0.0689655172413793,0.3578572413709421,热点,热点,热点
38,quadruple; bismuth; therapy; mg; bqt; day; eradication; adverse; bismuthcontaining; firstline,301,0.0098491541507149,2019.5348837209303,0.3588039867109635,21.132890365448507,1,0.2258635961027457,0.7615451724735375,0.5067937411655128,0.0850430286493268,0.0344827586206896,0.3571304709452165,热点,热点,热点
102,omvs; vesicles; outer; membrane; evs; omv; cells; pyloriderived; extracellular; host,89,0.0029122083701449,2019.426966292135,0.3820224719101123,43.93258426966292,1,0.0380868024800708,0.7524175210934492,0.5416329292234656,0.281789134251177,0.0344827586206896,0.3557010794609848,热点,热点,热点
146,microbiota; microbial; carcinogenesis; gastric; gc; microbiome; cancer; diversity; dysbiosis; bacteria,54,0.0017669578875036,2020.388888888889,0.3148148148148148,46.5,0,0.0070859167404782,0.8337768920106761,0.440788270995576,0.3039442144258008,0.0,0.347713875343581,热点,热点,热点
17,expression; cells; cancer; gastric; gc; signaling; carcinogenesis; cell; pathway; proliferation,417,0.0136448414646117,2017.8249400479613,0.2757793764988009,32.81534772182254,2,0.3286093888396811,0.6169182118364972,0.3822158462765818,0.1858548201752391,0.0689655172413793,0.3455655065548433,热点,热点,热点
83,nafld; liver; fatty; nonalcoholic; masld; metabolic; steatosis; disease; infection; fibrosis,97,0.0031739799090343,2020.4639175257728,0.3711340206185567,26.36082474226804,0,0.0451727192205491,0.8401228108177451,0.5252948779271531,0.1301566048798898,0.0,0.3415861818975957,热点,热点,热点
65,probiotics; probiotic; diarrhea; bowel; prevention; antibioticassociated; gastrointestinal; health; microbiota; lactobacillus,125,0.0040901802951474,2015.808,0.2,86.344,8,0.0699734278122231,0.4463255113077097,0.2685093780848963,0.6477712791457834,0.2758620689655172,0.3386740366597015,一般,一般,新兴
27,cancer; eradication; gastric; after; incidence; risk; prevention; gc; years; early,277,0.0090638395340466,2017.1444043321296,0.2129963898916967,48.36101083032491,8,0.2046058458813108,0.5593585309290889,0.2880103777249546,0.3200034928918863,0.2758620689655172,0.338535851756866,一般,新兴,新兴
72,ad; dementia; alzheimers; cognitive; brain; neurodegenerative; disease; tau; between; impairment,112,0.003664801544452,2018.9732142857144,0.3482142857142857,37.767857142857146,0,0.0584588131089459,0.7140391963515271,0.490903962769708,0.2285916632942128,0.0,0.3262525555698883,热点,热点,热点
100,pd; parkinsons; levodopa; motor; parkinsonism; disease; pdl1; fluctuations; ip; ldopa,87,0.0028467654854225,2017.8275862068965,0.2298850574712643,67.13793103448276,3,0.0363153232949512,0.6171420238427942,0.3133517150605348,0.4820357526619126,0.1034482758620689,0.325418472327594,热点,热点,新兴
68,host; virulence; bacterial; factors; pathogenesis; human; colonization; pylori; proteins; that,313,0.0102418114590491,2014.6134185303515,0.1405750798722044,67.79872204472844,11,0.2364924712134632,0.3452878631560331,0.1793426667381547,0.4877379370170507,0.3793103448275862,0.3191988353021042,一般,一般,一般
131,screening; cancer; gc; abc; gastric; highrisk; risk; for; endoscopic; endoscopy,121,0.0039592945257026,2018.3305785123969,0.2809917355371901,38.34710743801653,4,0.066430469441984,0.6596850909147095,0.390036957568143,0.2335902058281661,0.1379310344827586,0.3151600882676699,热点,热点,热点
74,biofilm; biofilms; formation; planktonic; ability; biofilmforming; that; resistance; microscopy; strains,110,0.0035993586597297,2018.636363636364,0.3181818181818182,39.70909090909091,0,0.0566873339238263,0.6855483832479614,0.4458404379431032,0.2453432120287644,0.0,0.3132820041386107,热点,热点,热点
79,aig; autoimmune; gastritis; atrophic; parietal; atrophy; aag; neuroendocrine; patients; anemia,151,0.004940937796538,2018.4900662251653,0.3245033112582781,31.60264900662252,1,0.0930026572187776,0.673174554644627,0.4553257977419375,0.1753900415476686,0.0344827586206896,0.3120290181596786,热点,热点,热点
15,cancer; gastric; gc; risk; infection; survival; patients; noncardia; pylori; ci,450,0.0147246490625306,2015.56,0.1755555555555555,39.266666666666666,7,0.3578387953941541,0.4253496822175482,0.2318306460458483,0.2415253867945085,0.2413793103448276,0.3109844095460644,一般,一般,一般
2,lymphoma; malt; lymphomas; lymphoid; mucosaassociated; tissue; bcell; remission; marginal; extranodal,837,0.027387847256307,2014.1338112305853,0.1146953405017921,24.678614097968936,5,0.7006200177147919,0.304722698840371,0.140510283872383,0.11564025240348,0.1724137931034483,0.3099640548965692,一般,一般,一般
125,autophagy; autophagic; cells; intracellular; autophagyrelated; lysosomal; vaca; atg16l1; autophagosomes; apoptosis,71,0.0023232224076437,2018.9295774647887,0.2816901408450704,44.23943661971831,0,0.0221434898139946,0.71034839595729,0.3910849102512408,0.2844370647506744,0.0,0.3079099707294225,热点,热点,热点
