Topic,Macro
2,0
3,0
11,0
15,0
20,0
27,0
28,0
29,0
32,0
33,0
35,0
39,0
46,0
49,0
53,0
62,0
63,0
69,0
73,0
75,0
79,0
80,0
81,0
85,0
87,0
89,0
90,0
91,0
96,0
103,0
104,0
115,0
121,0
129,0
131,0
138,0
141,0
144,0
145,0
146,0
4,1
5,1
6,1
12,1
16,1
19,1
21,1
23,1
26,1
30,1
34,1
37,1
41,1
42,1
45,1
48,1
51,1
55,1
56,1
57,1
58,1
64,1
72,1
76,1
78,1
82,1
83,1
86,1
94,1
95,1
98,1
100,1
101,1
105,1
109,1
110,1
111,1
114,1
117,1
119,1
122,1
143,1
148,1
149,1
150,1
156,1
1,2
7,2
8,2
17,2
18,2
22,2
25,2
40,2
44,2
47,2
52,2
54,2
59,2
60,2
61,2
66,2
67,2
68,2
71,2
74,2
88,2
99,2
102,2
106,2
108,2
113,2
118,2
120,2
124,2
125,2
126,2
127,2
134,2
135,2
139,2
142,2
151,2
152,2
154,2
155,2
92,3
123,3
136,3
0,4
9,4
10,4
13,4
14,4
24,4
31,4
36,4
38,4
43,4
50,4
65,4
70,4
77,4
84,4
93,4
97,4
107,4
112,4
116,4
128,4
130,4
132,4
133,4
137,4
140,4
147,4
153,4
