Topic,Refined_Label
0,Global Consensus Guidelines
1,Natural Antimicrobial Compounds
2,Gastric MALT Lymphoma
3,Gastric Cancer Molecular Subtypes
4,Pediatric Management Guidelines
5,H. pylori Seroprevalence
6,CagA Genotypes and Virulence
7,Experimental Vaccine Models
8,Nanoparticle Drug Delivery
9,Antibiotic Resistance Trends
10,Peptic Ulcer Pathogenesis
11,Gastric Cancer Incidence Trends
12,Chronic Atrophic Gastritis
13,Clarithromycin Resistance Mutations
14,Functional Dyspepsia Symptoms
15,Gastric Cancer Risk Factors
16,Oral�CGastric Transmission Pathways
17,Tumor Gene Expression Profiles
18,LPS and Lewis Antigens
19,Non-invasive Diagnostic Tests
20,Endoscopic Gastritis Classification
21,Cirrhosis and Hepatic Outcomes
22,Epithelial Apoptosis and Turnover
23,Host Genetic Polymorphisms
24,Dyspepsia Symptom Relief
25,Genomic Diversity and Evolution
26,Urea Breath Test Accuracy
27,Eradication and Cancer Prevention
28,Symptoms and Gastritis Severity
29,Hyperplastic Polyps Pathology
30,Historical Research Trends
31,Peptic Ulcer Disease Spectrum
32,IL-1B Polymorphisms
33,Pepsinogen Serology Screening
34,Non-pylori Helicobacter Species
35,GERD and Reflux Association
36,Aspirin-related Ulcer Risk
37,Metabolic Syndrome and Diabetes
38,Bismuth Quadruple Therapy
39,Reflux Esophagitis Spectrum
40,Urease Nickel Structure
41,Stool Antigen Test (SAT)
42,Virulence Factor Genotyping
43,Probiotic Adjuvant Efficacy
44,Urease Inhibitor Design
45,Pediatric Iron Deficiency Anemia
46,miRNA Expression Profiles
47,DNA Recombination Mechanisms
48,Gut Microbiota Diversity
49,Intestinal Metaplasia Progression
50,Esomeprazole Pharmacology
51,Th17/Treg Immune Balance
52,CagA Phosphorylation Signaling
53,Barrett's Esophagus Risk
54,Enzyme Catalytic Kinetics
55,Chronic Kidney Disease Association
56,Mongolian Gerbil Infection Models
57,Inflammatory Bowel Disease (IBD)
58,DupA Virulence Factor
59,MUC1 Mucin Expression
60,Lactobacillus Probiotics
61,VacA Toxin Mechanism
62,Bariatric Surgery Outcomes
63,Colorectal Cancer Association
64,Upper Airway Manifestations
65,Probiotic Strain Specificity
66,Waterborne Transmission Risks
67,Protein Structure Prediction
68,Host�CPathogen Interaction
69,Duodenal Ulcer Healing
70,Levofloxacin Rescue Therapy
71,Molecular Biosensing (LAMP)
72,Dementia and Cognitive Impairment
73,Gastric Microbiota Dysbiosis
74,Biofilm Formation Mechanisms
75,Celiac Disease Association
76,Cardiovascular Risk Factors
77,CYP2C19 Metabolizer Status
78,Asthma and Allergic Diseases
79,Autoimmune Gastritis (AIG)
80,Atrophic Gastritis Staging (OLGA)
81,EBV-associated Gastric Cancer
82,Pregnancy and Maternal Health
83,NAFLD and Liver Metabolism
84,Upper GI Bleeding
85,H. pylori Attributable Fraction
86,Ghrelin and Appetite Regulation
87,Pancreatic Cancer Risk
88,Type IV Secretion System (T4SS)
89,Promoter Methylation Markers
90,Deep Learning Diagnostics
91,Gastric Acid Secretion Physiology
92,Chronic Urticaria Association
93,Clarithromycin-based Regimens
94,Metal-based Antimicrobials
95,Immune Thrombocytopenia (ITP)
96,Early Gastric Cancer ESD
97,Proton Pump Inhibitors (General)
98,Vitamin B12 Deficiency
99,Flagellar Motility
100,Parkinson's Disease Link
101,Obesity and Infection Risk
102,Outer Membrane Vesicles (OMVs)
103,CpG Island Methylation
104,Circulating miRNAs
105,Dietary Salt Intake
106,Dendritic Cell Response
107,Vonoprazan-based Regimens
108,Bismuth Subcitrate Safety
109,Iron Status in Dyspepsia
110,TLR4/TLR2 Signaling
111,Gastric Histopathology Staining
112,PPI Adverse Effects
113,DNA Damage and Repair
114,Autoimmune Thyroid Disease
115,Esophageal Adenocarcinoma
116,Rifabutin Rescue Therapy
117,Ferritin Levels
118,Gut Microbiome Interactions
119,COPD and Lung Disease
120,DnaA Replication Initiation
121,Endoscopy Quality Control
122,Systemic Sclerosis Association
123,Ocular Disease Associations
124,Antimicrobial Peptides
125,Autophagy and Cell Survival
126,Toll-like Receptor Activation
127,Fusobacterium and Oral Axis
128,Vonoprazan Dual Therapy
129,Metaplasia Biomarkers
130,Quadruple Therapy Optimization
131,Gastric Cancer Screening (ABC)
132,Pediatric Antibiotic Resistance
133,Furazolidone Quadruple Therapy
134,p53 and E-cadherin Pathways
135,Metronidazole Resistance (RdxA)
136,Rosacea and Skin Disorders
137,Peptic Ulcer Bleeding
138,Precancerous Lesion Management
139,Ferric Uptake Regulator (Fur)
140,Bariatric Surgery and H. pylori Status
141,Eosinophilic Esophagitis (EoE)
142,Innate Immune Responses
143,HIV Coinfection
144,Metachronous Cancer Resection
145,Gastrectomy and Cancer Risk
146,Microbiota-driven Carcinogenesis
147,PPI Triple Therapy Comparison
148,Extragastric Disease Overview
149,ITP Platelet Recovery
150,Pediatric Seroepidemiology
151,NF-��B Activation
152,Protein Structural Dynamics
153,Gastric Stem Cell Biology
154,Pathogenicity Islands
155,MMP-9 Expression
156,Vitamin D and VDR
