Method,MC,Topic,Topic_Name,Keywords,Topic_Count_in_TopicInfo,Doc_Count,Total_Citations,Avg_Citations,Mean_Year,Median_Year,Min_Year,Max_Year,Rep_TopK,Rep_PMIDs_TopK,Rep_Titles_TopK,Rep_PMID,Rep_Year,Rep_Citation_Count,Rep_Topic_Probability,Rep_Title,Rep_Abstract
baseline,39,0,therapy · eradication · triple,therapy; eradication; mg; triple; quadruple; treatment; day; amoxicillin; rates; regimen,2042.0,2042,59323.0,29.051,2016.502,2017.0,2005,2025,5,28071659 | 17608775 | 20525969 | 27102658 | 21345487,"ACG Clinical Guideline: Treatment of Helicobacter pylori Infection. | American College of Gastroenterology guideline on the management of Helicobacter pylori infection. | Helicobacter pylori treatment in the era of increasing antibiotic resistance. | The Toronto Consensus for the Treatment of Helicobacter pylori Infection in Adults. | Helicobacter pylori eradication with a capsule containing bismuth subcitrate potassium, metronidazole, and tetracycline given with omeprazole versus clarithromycin-based triple therapy: a randomised, open-label, non-inferiority, phase 3 trial.",28071659,2017,1534,,ACG Clinical Guideline: Treatment of Helicobacter pylori Infection.,"Helicobacter pylori (H. pylori) infection is a common worldwide infection that is an important cause of peptic ulcer disease and gastric cancer. H. pylori may also have a role in uninvestigated and functional dyspepsia, ulcer risk in patients taking low-dose aspirin or starting therapy with a non-steroidal anti-inflammatory medication, unexplained iron deficiency anemia, and idiopathic thrombocytopenic purpura. While choosing a treatment regimen for H. pylori, patients should be asked about previous antibiotic exposure and this information should be incorporated into the decision-making process. For first-line treatment, clarithromycin triple therapy should be confined to patients with no previous history of macrolide exposure who reside in areas where clarithromycin resistance amongst H. pylori isolates is known to be low. Most patients will be better served by first-line treatment with bismuth quadruple therapy or concomitant therapy consisting of a PPI, clarithromycin, amoxicillin, and metronidazole. When first-line therapy fails, a salvage regimen should avoid antibiotics that were previously used. If a patient received a first-line treatment containing clarithromycin, bismuth quadruple therapy or levofloxacin salvage regimens are the preferred treatment options. If a patient received first-line bismuth quadruple therapy, clarithromycin or levofloxacin-containing salvage regimens are the preferred treatment options. Details regarding the drugs, doses and durations of the recommended and suggested first-line and salvage regimens can be found in the guideline."
baseline,39,1,ulcer · bleeding · peptic,ulcer; bleeding; peptic; ulcers; aspirin; nsaids; patients; duodenal; nsaid; nonsteroidal,1061.0,1061,33918.0,31.968,2013.209,2012.0,2005,2025,5,19683340 | 28242110 | 26417980 | 19240698 | 15659723,Peptic ulcer disease. | Peptic ulcer disease. | Diagnosis and management of nonvariceal upper gastrointestinal hemorrhage: European Society of Gastrointestinal Endoscopy (ESGE) Guideline. | Guidelines for prevention of NSAID-related ulcer complications. | Clopidogrel versus aspirin and esomeprazole to prevent recurrent ulcer bleeding.,19683340,2009,1466,,Peptic ulcer disease.,"Peptic ulcer disease had a tremendous effect on morbidity and mortality until the last decades of the 20th century, when epidemiological trends started to point to an impressive fall in its incidence. Two important developments are associated with the decrease in rates of peptic ulcer disease: the discovery of effective and potent acid suppressants, and of Helicobacter pylori. With the discovery of H pylori infection, the causes, pathogenesis, and treatment of peptic ulcer disease have been rewritten. We focus on this revolution of understanding and management of peptic ulcer disease over the past years. Despite substantial advances, this disease remains an important clinical problem, largely because of the increasingly widespread use of non-steroidal anti-inflammatory drugs (NSAIDs) and low-dose aspirin. We discuss the role of these agents in the causes of ulcer disease and therapeutic and preventive strategies for drug-induced ulcers. The rare but increasingly problematic H pylori-negative NSAID-negative ulcer is also examined."
baseline,39,2,lymphoma · malt · lymphomas,lymphoma; malt; lymphomas; lymphoid; mucosaassociated; tissue; bcell; remission; gastric; cases,847.0,847,21332.0,25.185,2014.034,2013.0,2005,2025,5,21390139 | 21317175 | 16204012 | 19631287 | 26773441,Primary gastrointestinal lymphoma. | EGILS consensus report. Gastric extranodal marginal zone B-cell lymphoma of MALT. | Long-term follow-up of gastric MALT lymphoma after Helicobacter pylori eradication. | Effects of Helicobacter pylori eradication on early stage gastric mucosa-associated lymphoid tissue lymphoma. | Clinicopathologic characteristics and treatment of marginal zone lymphoma of mucosa-associated lymphoid tissue (MALT lymphoma).,21390139,2011,453,,Primary gastrointestinal lymphoma.,"Gastrointestinal tract is the most common extranodal site involved by lymphoma with the majority being non-Hodgkin type. Although lymphoma can involve any part of the gastrointestinal tract, the most frequent sites in order of its occurrence are the stomach followed by small intestine and ileocecal region. Gastrointestinal tract lymphoma is usually secondary to the widespread nodal diseases and primary gastrointestinal tract lymphoma is relatively rare. Gastrointestinal lymphomas are usually not clinically specific and indistinguishable from other benign and malignant conditions. Diffuse large B-cell lymphoma is the most common pathological type of gastrointestinal lymphoma in essentially all sites of the gastrointestinal tract, although recently the frequency of other forms has also increased in certain regions of the world. Although some radiological features such as bulky lymph nodes and maintenance of fat plane are more suggestive of lymphoma, they are not specific, thus mandating histopathological analysis for its definitive diagnosis. There has been a tremendous leap in the diagnosis, staging and management of gastrointestinal lymphoma in the last two decades attributed to a better insight into its etiology and molecular aspect as well as the knowledge about its critical signaling pathways."
baseline,39,3,caga · vaca · strains,caga; vaca; strains; genotypes; virulence; isolates; gene; genes; genotype; baba2,768.0,768,20050.0,26.107,2013.599,2013.0,2005,2025,5,20938460 | 17854597 | 18474244 | 15825067 | 18552463,"Mechanisms of disease: Helicobacter pylori virulence factors. | A new Helicobacter pylori vacuolating cytotoxin determinant, the intermediate region, is associated with gastric cancer. | Clinical relevance of Helicobacter pylori cagA and vacA gene polymorphisms. | Duodenal ulcer promoting gene of Helicobacter pylori. | Geographic differences in gastric cancer incidence can be explained by differences between Helicobacter pylori strains.",20938460,2010,646,,Mechanisms of disease: Helicobacter pylori virulence factors.,"Helicobacter pylori plays an essential role in the development of various gastroduodenal diseases; however, only a small proportion of people infected with H. pylori develop these diseases. Some populations that have a high prevalence of H. pylori infection also have a high incidence of gastric cancer (for example, in East Asia), whereas others do not (for example, in Africa and South Asia). Even within East Asia, the incidence of gastric cancer varies (decreasing in the south). H. pylori is a highly heterogeneous bacterium and its virulence varies geographically. Geographic differences in the incidence of gastric cancer can be explained, at least in part, by the presence of different types of H. pylori virulence factor, especially CagA, VacA and OipA. However, it is still unclear why the pathogenicity of H. pylori increased as it migrated from Africa to East Asia during the course of evolution. H. pylori infection is also thought to be involved in the development of duodenal ulcer, which is at the opposite end of the disease spectrum to gastric cancer. This discrepancy can be explained in part by the presence of H. pylori virulence factor DupA. Despite advances in our understanding of the development of H. pylori-related diseases, further work is required to clarify the roles of H. pylori virulence factors."
baseline,39,4,cells · expression · gastric,cells; expression; gastric; cell; epithelial; signaling; cancer; activation; pathway; apoptosis,911.0,911,32421.0,35.588,2016.266,2016.0,2005,2025,5,25363776 | 26385073 | 16027366 | 17401375 | 33375694,Modelling human development and disease in pluripotent stem-cell-derived gastric organoids. | Pathobiology of Helicobacter pylori-Induced Gastric Cancer. | Activation of beta-catenin by carcinogenic Helicobacter pylori. | Helicobacter pylori infection triggers aberrant expression of activation-induced cytidine deaminase in gastric epithelium. | Helicobacter pylori Virulence Factors-Mechanisms of Bacterial Pathogenicity in the Gastric Microenvironment.,25363776,2014,948,,Modelling human development and disease in pluripotent stem-cell-derived gastric organoids.,"Gastric diseases, including peptic ulcer disease and gastric cancer, affect % of the world's population and are largely due to chronic Helicobacter pylori infection. Species differences in embryonic development and architecture of the adult stomach make animal models suboptimal for studying human stomach organogenesis and pathogenesis, and there is no experimental model of normal human gastric mucosa. Here we report the de novo generation of three-dimensional human gastric tissue in vitro through the directed differentiation of human pluripotent stem cells. We show that temporal manipulation of the FGF, WNT, BMP, retinoic acid and EGF signalling pathways and three-dimensional growth are sufficient to generate human gastric organoids (hGOs). Developing hGOs progressed through molecular and morphogenetic stages that were nearly identical to the developing antrum of the mouse stomach. Organoids formed primitive gastric gland- and pit-like domains, proliferative zones containing LGR5-expressing cells, surface and antral mucous cells, and a diversity of gastric endocrine cells. We used hGO cultures to identify novel signalling mechanisms that regulate early endoderm patterning and gastric endocrine cell differentiation upstream of the transcription factor NEUROG3. Using hGOs to model pathogenesis of human disease, we found that H. pylori infection resulted in rapid association of the virulence factor CagA with the c-Met receptor, activation of signalling and induction of epithelial proliferation. Together, these studies describe a new and robust in vitro system for elucidating the mechanisms underlying human stomach development and disease."
baseline,39,5,cells · immune · response,il; cells; immune; response; expression; mice; responses; macrophages; by; gastric,875.0,875,36382.0,41.579,2014.57,2014.0,2005,2025,5,16493424 | 15956202 | 15972330 | 19718030 | 19931266,"Signalling pathways and molecular interactions of NOD1 and NOD2. | Evasion of Toll-like receptor 5 by flagellated bacteria. | NF-kappaB activation and potentiation of proinflammatory responses by the Helicobacter pylori CagA protein. | Carbohydrate-specific signaling through the DC-SIGN signalosome tailors immunity to Mycobacterium tuberculosis, HIV-1 and Helicobacter pylori. | Helicobacter pylori immune escape is mediated by dendritic cell-induced Treg skewing and Th17 suppression in mice.",16493424,2006,834,,Signalling pathways and molecular interactions of NOD1 and NOD2.,"The NOD (nucleotide-binding oligomerization domain) proteins NOD1 and NOD2 have important roles in innate immunity as sensors of microbial components derived from bacterial peptidoglycan. The importance of these molecules is underscored by the fact that mutations in the gene that encodes NOD2 occur in a subpopulation of patients with Crohn's disease, and NOD1 has also been shown to participate in host defence against infection with Helicobacter pylori. Here, we focus on the molecular interactions between these NOD proteins and other intracellular molecules to elucidate the mechanisms by which NOD1 and NOD2 contribute to the maintenance of mucosal homeostasis and the induction of mucosal inflammation."
baseline,39,6,activity · extract · extracts,activity; extract; extracts; against; compounds; gml; antibacterial; activities; vitro; inhibitory,697.0,697,28321.0,40.633,2016.908,2018.0,2005,2025,5,21514796 | 25130096 | 16800770 | 16371157 | 30717467,"Recent advances in understanding the antibacterial properties of flavonoids. | Alkaloids: an overview of their antibacterial, antibiotic-enhancing and antivirulence activities. | Berry phenolics: antimicrobial properties and mechanisms of action against severe human pathogens. | Antimicrobial activities of Eugenol and Cinnamaldehyde against the human gastric pathogen Helicobacter pylori. | Peptic Ulcer Disease: A Brief Review of Conventional Therapy and Herbal Treatment Options.",21514796,2011,1211,,Recent advances in understanding the antibacterial properties of flavonoids.,"Antibiotic resistance is a major global problem and there is a pressing need to develop new therapeutic agents. Flavonoids are a family of plant-derived compounds with potentially exploitable activities, including direct antibacterial activity, synergism with antibiotics, and suppression of bacterial virulence. In this review, recent advances towards understanding these properties are described. Information is presented on the ten most potently antibacterial flavonoids as well as the five most synergistic flavonoid-antibiotic combinations tested in the last years (identified from PubMed and ScienceDirect). Top of these respective lists are panduratin A, with minimum inhibitory concentrations (MICs) of - μg/mL against Staphylococcus aureus, and epicatechin gallate, which reduces oxacillin MICs as much as -fold. Research seeking to improve such activity and understand structure-activity relationships is discussed. Proposed mechanisms of action are also discussed. In addition to direct and synergistic activities, flavonoids inhibit a number of bacterial virulence factors, including quorum-sensing signal receptors, enzymes and toxins. Evidence of these molecular effects at the cellular level include in vitro inhibition of biofilm formation, inhibition of bacterial attachment to host ligands, and neutralisation of toxicity towards cultured human cells. In vivo evidence of disruption of bacterial pathogenesis includes demonstrated efficacy against Helicobacter pylori infection and S. aureus α-toxin intoxication."
baseline,39,7,microbiota · gut · microbial,microbiota; gut; microbial; microbiome; gastric; diversity; composition; bacteria; the; abundance,731.0,731,33865.0,46.327,2019.585,2021.0,2005,2025,5,16407106 | 20495574 | 26811603 | 17200707 | 28765474,"Molecular analysis of the bacterial microbiota in the human stomach. | Helicobacter pylori: gastric cancer and beyond. | Gut microbiota imbalance and colorectal cancer. | Inflammation, atrophy, and gastric cancer. | Mucosal microbiome dysbiosis in gastric carcinogenesis.",16407106,2006,1109,,Molecular analysis of the bacterial microbiota in the human stomach.,"The microbiota of the human stomach and the influence of Helicobacter pylori colonization on its composition remain largely unknown. We characterized bacterial diversity within the human gastric mucosa by using a small subunit 16S rDNA clone library approach and analyzed , sequences generated by broad-range bacterial PCR from gastric endoscopic biopsy samples. A diverse community of phylotypes was identified, featuring diversity at this site greater than previously described. The majority of sequences were assigned to the Proteobacteria, Firmicutes, Actinobacteria, Bacteroidetes, and Fusobacteria phyla. Ten percent of the phylotypes were previously uncharacterized, including a Deinococcus-related organism, relatives of which have been found in extreme environments but not reported before in humans. The gastric clone libraries from subjects contained H. pylori rDNA; however, only of these subjects tested positive for H. pylori by conventional laboratory methods. Statistical analysis revealed a large degree of intersubject variability of the gastric ecosystem. The presence of H. pylori did not affect the composition of the gastric community. This gastric bacterial rDNA data set was significantly different from sequence collections of the human mouth and esophagus described in other studies, indicating that the human stomach may be home to a distinct microbial eco-system. The gastric microbiota may play important, as-yet-undiscovered roles in human health and disease."
baseline,39,8,prevalence · children · infection,prevalence; children; infection; age; seroprevalence; pylori; years; among; factors; was,671.0,671,25753.0,38.38,2014.288,2014.0,2005,2025,5,28456631 | 27531531 | 29430669 | 25167938 | 17727452,Global Prevalence of Helicobacter pylori Infection: Systematic Review and Meta-Analysis. | Epidemiology of Helicobacter pylori infection. | Systematic review with meta-analysis: the worldwide prevalence of Helicobacter pylori infection. | Epidemiology of Helicobacter pylori infection. | Epidemiology of Helicobacter pylori infection.,28456631,2017,3154,,Global Prevalence of Helicobacter pylori Infection: Systematic Review and Meta-Analysis.,"BACKGROUND & AIMS: The epidemiology of Helicobacter pylori infection has changed with improvements in sanitation and methods of eradication. We performed a systematic review and meta-analysis to evaluate changes in the global prevalence of H pylori infection. METHODS: We performed a systematic search of the MEDLINE and EMBASE databases for studies of the prevalence of H pylori infection published from January , through January , . We analyzed data based on United Nations geoscheme regions and individual countries. We used a random effects model to calculate pooled prevalence estimates with % confidence intervals (CIs), weighted by study size. We extrapolated prevalence estimates to obtain the estimated number of individuals with H pylori infection. RESULTS: Among , reports screened, we identified full-text articles on the prevalence of H pylori infection; were included in the final analysis, comprising data from countries. Africa had the highest pooled prevalence of H pylori infection (%; % CI, -), whereas Oceania had the lowest prevalence (%; % CI, -). Among individual countries, the prevalence of H pylori infection varied from as low as % in Switzerland (% CI, -) to % in Nigeria (% CI, -). Based on regional prevalence estimates, there were approximately billion individuals with H pylori infection worldwide in . CONCLUSIONS: In a systematic review and meta-analysis to assess the prevalence of H pylori infection worldwide, we observed large amounts of variation among regions-more than half the world's population is infected. These data can be used in development of customized strategies for the global eradication."
baseline,39,9,polymorphisms · polymorphism · genotype,polymorphisms; polymorphism; genotype; risk; cancer; allele; il; gene; gc; ci,603.0,603,14376.0,23.841,2012.469,2012.0,2005,2025,5,16284368 | 15710978 | 15652446 | 25731870 | 21178102,Interleukin-8 promoter polymorphism increases the risk of atrophic gastritis and gastric cancer in Japan. | The polymorphism interleukin 8 -251 A/T influences the susceptibility of Helicobacter pylori related gastric diseases in the Japanese population. | Pro- and anti-inflammatory cytokines gene polymorphisms and Helicobacter pylori infection: interactions influence outcome. | Genetic variation and gastric cancer risk: a field synopsis and meta-analysis. | Polymorphisms in inflammatory response genes and their association with gastric cancer: A HuGE systematic review and meta-analyses.,16284368,2005,241,,Interleukin-8 promoter polymorphism increases the risk of atrophic gastritis and gastric cancer in Japan.,"Host genetic susceptibility may influence gastric carcinogenesis caused by Helicobacter pylori infection. We aimed to clarify the relationship of interleukin (IL)- polymorphism with the risk of atrophic gastritis and gastric cancer. We examined IL- - T > A, IL-1B - C > T, and IL-1RN intron polymorphisms in healthy controls, individuals with atrophic gastritis, and patients with gastric cancer. We also investigated the effect of the IL- polymorphism on IL- production and histologic degree of gastritis in noncancerous gastric mucosa. Although no correlation was found in the analysis of the IL-1B and IL-1RN polymorphisms, IL- - A/A genotype held a higher risk of atrophic gastritis [odds ratio (OR), ; % confidence interval (CI), -] and gastric cancer (OR, ; % CI, -) compared with the T/T genotype. We also found that the A/A genotype increased the risk of upper-third location (OR, ; % CI, -), diffuse (OR, ; % CI, -), poorly differentiated (OR, ; % CI, -), lymph node (OR, ; % CI, -), and liver metastasis (OR, ; % CI, -), and p53-mutated (OR, ; % CI, -) subtypes of gastric cancer. The A/A and A/T genotypes were significantly associated with higher levels of IL- protein compared with the T/T genotype. Neutrophil infiltration score was significantly higher in the A/A genotype than in the T/T genotype. In conclusion, we showed that the IL- - T > A polymorphism is associated with higher expression of IL- protein, more severe neutrophil infiltration, and increased risk of atrophic gastritis and gastric cancer."
baseline,39,10,reflux · gerd · esophagitis,reflux; gerd; esophagitis; barretts; esophagus; esophageal; gastroesophageal; re; symptoms; disease,581.0,581,18683.0,32.157,2013.386,2013.0,2005,2025,5,17185192 | 15932168 | 16798392 | 29037470 | 19646015,"Epidemiology and pathogenesis of esophageal cancer. | High prevalence of gastroesophageal reflux symptoms and esophagitis with or without symptoms in the general adult Swedish population: a Kalixanda study report. | Gastro-oesophageal reflux disease. | Pathophysiology of Gastroesophageal Reflux Disease. | Epidemiology of esophageal cancer: Orient to Occident. Effects of chronology, geography and ethnicity.",17185192,2006,529,,Epidemiology and pathogenesis of esophageal cancer.,"Esophageal cancer remains an important public health problem worldwide. Understanding and preventing the occurrence of this cancer are complicated by the fact that the major histologic types, squamous cell carcinoma (SCC) and adenocarcinoma (ACE), differ substantially in their underlying patterns of incidence and key etiologic factors. The main characteristic that they share is a high mortality rate. Surveillance, Epidemiology, and End Results data for the United States show a % drop in incidence of SCC between and , with declines greatest in black males, although incidence in this group remains high compared with other groups. Incidence of ACE has increased -fold over the same period, with a nearly -fold increase in white males. Alcohol and smoking are major, established risk factors for SCC. Gastroesophageal reflux disease is consistently associated with increased risk of ACE, whereas infection with Helicobacter pylori may reduce its incidence. Increasing body mass index is also strongly associated with ACE risk while showing no association or an inverse relationship with SCC. Diet affects both types of esophageal cancer, with a higher intake of fruits and vegetables associated with reduced incidence. Aspirin and other nonsteroidal antiinflammatory drugs are currently the most promising chemoprevention candidates for both cancer types. Lifestyle changes, such as weight loss and exercise, are additional ways in which the incidence of ACE might be reduced."
