Method,MC,Topic,Topic_Name,Keywords,Topic_Count_in_TopicInfo,Doc_Count,Total_Citations,Avg_Citations,Mean_Year,Median_Year,Min_Year,Max_Year,Rep_TopK,Rep_PMIDs_TopK,Rep_Titles_TopK,Rep_PMID,Rep_Year,Rep_Citation_Count,Rep_Topic_Probability,Rep_Title,Rep_Abstract
VPD,39,0,therapy · eradication · treatment,therapy; eradication; treatment; triple; sequential; regimens; rate; firstline; rates; regimen,1175.0,1175,47591.0,40.503,2016.434,2017.0,2005,2025,5,27707777 | 17170018 | 22491499 | 28071659 | 17608775,Management of Helicobacter pylori infection-the Maastricht V/Florence Consensus Report. | Current concepts in the management of Helicobacter pylori infection: the Maastricht III Consensus Report. | Management of Helicobacter pylori infection--the Maastricht IV/ Florence Consensus Report. | ACG Clinical Guideline: Treatment of Helicobacter pylori Infection. | American College of Gastroenterology guideline on the management of Helicobacter pylori infection.,27707777,2016,2826,,Management of Helicobacter pylori infection-the Maastricht V/Florence Consensus Report.,"Important progress has been made in the management of Helicobacter pylori infection and in this fifth edition of the Maastricht Consensus Report, key aspects related to the clinical role of H. pylori were re-evaluated in . In the Maastricht V/Florence Consensus Conference, experts from countries examined new data related to H. pylori in five subdivided workshops: () Indications/Associations, () Diagnosis, () Treatment, () Prevention/Public Health, () H. pylori and the Gastric Microbiota. The results of the individual workshops were presented to a final consensus voting that included all participants. Recommendations are provided on the basis of the best available evidence and relevance to the management of H. pylori infection in the various clinical scenarios."
VPD,39,1,activity · against · compounds,activity; against; compounds; extract; extracts; antibacterial; mic; gml; inhibitory; vitro,979.0,979,36095.0,36.869,2016.675,2018.0,2005,2025,5,21514796 | 17533652 | 25130096 | 16800770 | 29355262,"Recent advances in understanding the antibacterial properties of flavonoids. | Berry anthocyanins as novel antioxidants in human health and disease prevention. | Alkaloids: an overview of their antibacterial, antibiotic-enhancing and antivirulence activities. | Berry phenolics: antimicrobial properties and mechanisms of action against severe human pathogens. | The antibacterial activity of polyoxometalates: structures, antibiotic effects and future perspectives.",21514796,2011,1211,,Recent advances in understanding the antibacterial properties of flavonoids.,"Antibiotic resistance is a major global problem and there is a pressing need to develop new therapeutic agents. Flavonoids are a family of plant-derived compounds with potentially exploitable activities, including direct antibacterial activity, synergism with antibiotics, and suppression of bacterial virulence. In this review, recent advances towards understanding these properties are described. Information is presented on the ten most potently antibacterial flavonoids as well as the five most synergistic flavonoid-antibiotic combinations tested in the last years (identified from PubMed and ScienceDirect). Top of these respective lists are panduratin A, with minimum inhibitory concentrations (MICs) of - μg/mL against Staphylococcus aureus, and epicatechin gallate, which reduces oxacillin MICs as much as -fold. Research seeking to improve such activity and understand structure-activity relationships is discussed. Proposed mechanisms of action are also discussed. In addition to direct and synergistic activities, flavonoids inhibit a number of bacterial virulence factors, including quorum-sensing signal receptors, enzymes and toxins. Evidence of these molecular effects at the cellular level include in vitro inhibition of biofilm formation, inhibition of bacterial attachment to host ligands, and neutralisation of toxicity towards cultured human cells. In vivo evidence of disruption of bacterial pathogenesis includes demonstrated efficacy against Helicobacter pylori infection and S. aureus α-toxin intoxication."
VPD,39,2,lymphoma · malt · lymphomas,lymphoma; malt; lymphomas; lymphoid; mucosaassociated; tissue; bcell; remission; marginal; extranodal,837.0,837,20656.0,24.679,2014.134,2014.0,2005,2025,5,21390139 | 21317175 | 16204012 | 19631287 | 26773441,Primary gastrointestinal lymphoma. | EGILS consensus report. Gastric extranodal marginal zone B-cell lymphoma of MALT. | Long-term follow-up of gastric MALT lymphoma after Helicobacter pylori eradication. | Effects of Helicobacter pylori eradication on early stage gastric mucosa-associated lymphoid tissue lymphoma. | Clinicopathologic characteristics and treatment of marginal zone lymphoma of mucosa-associated lymphoid tissue (MALT lymphoma).,21390139,2011,453,,Primary gastrointestinal lymphoma.,"Gastrointestinal tract is the most common extranodal site involved by lymphoma with the majority being non-Hodgkin type. Although lymphoma can involve any part of the gastrointestinal tract, the most frequent sites in order of its occurrence are the stomach followed by small intestine and ileocecal region. Gastrointestinal tract lymphoma is usually secondary to the widespread nodal diseases and primary gastrointestinal tract lymphoma is relatively rare. Gastrointestinal lymphomas are usually not clinically specific and indistinguishable from other benign and malignant conditions. Diffuse large B-cell lymphoma is the most common pathological type of gastrointestinal lymphoma in essentially all sites of the gastrointestinal tract, although recently the frequency of other forms has also increased in certain regions of the world. Although some radiological features such as bulky lymph nodes and maintenance of fat plane are more suggestive of lymphoma, they are not specific, thus mandating histopathological analysis for its definitive diagnosis. There has been a tremendous leap in the diagnosis, staging and management of gastrointestinal lymphoma in the last two decades attributed to a better insight into its etiology and molecular aspect as well as the knowledge about its critical signaling pathways."
VPD,39,3,cancer · expression · tumor,gc; cancer; expression; tumor; gastric; cells; cell; progression; in; tissues,784.0,784,32287.0,41.182,2016.639,2017.0,2005,2025,5,25894828 | 25324587 | 25363776 | 25307862 | 17200707,"Molecular analysis of gastric cancer identifies subtypes associated with distinct clinical outcomes. | Inflammation-related carcinogenesis: current findings in epidemiological trends, causes and mechanisms. | Modelling human development and disease in pluripotent stem-cell-derived gastric organoids. | In vitro expansion of human gastric epithelial stem cells and their responses to bacterial infection. | Inflammation, atrophy, and gastric cancer.",25894828,2015,2133,,Molecular analysis of gastric cancer identifies subtypes associated with distinct clinical outcomes.,"Gastric cancer, a leading cause of cancer-related deaths, is a heterogeneous disease. We aim to establish clinically relevant molecular subtypes that would encompass this heterogeneity and provide useful clinical information. We use gene expression data to describe four molecular subtypes linked to distinct patterns of molecular alterations, disease progression and prognosis. The mesenchymal-like type includes diffuse-subtype tumors with the worst prognosis, the tendency to occur at an earlier age and the highest recurrence frequency (%) of the four subtypes. Microsatellite-unstable tumors are hyper-mutated intestinal-subtype tumors occurring in the antrum; these have the best overall prognosis and the lowest frequency of recurrence (%) of the four subtypes. The tumor protein (TP53)-active and TP53-inactive types include patients with intermediate prognosis and recurrence rates (with respect to the other two subtypes), with the TP53-active group showing better prognosis. We describe key molecular alterations in each of the four subtypes using targeted sequencing and genome-wide copy number microarrays. We validate these subtypes in independent cohorts in order to provide a consistent and unified framework for further clinical and preclinical translational research."
VPD,39,4,children · infection · prevalence,children; infection; prevalence; age; years; pylori; childhood; in; pediatric; was,539.0,539,12547.0,23.278,2013.816,2013.0,2005,2025,5,28541262 | 16651285 | 21558964 | 19098867 | 16285942,"Joint ESPGHAN/NASPGHAN Guidelines for the Management of Helicobacter pylori in Children and Adolescents (Update 2016). | Therapy with gastric acidity inhibitors increases the risk of acute gastroenteritis and community-acquired pneumonia in children. | Evidence-based guidelines from ESPGHAN and NASPGHAN for Helicobacter pylori infection in children. | Acquisition of Helicobacter pylori infection in early childhood: independent contributions of infected mothers, fathers, and siblings. | Improved efficacy of 10-Day sequential treatment for Helicobacter pylori eradication in children: a randomized trial.",28541262,2017,447,,Joint ESPGHAN/NASPGHAN Guidelines for the Management of Helicobacter pylori in Children and Adolescents (Update 2016).,"BACKGROUND: Because of the changing epidemiology of Helicobacter pylori infection and low efficacy of currently recommended therapies, an update of the European Society for Paediatric Gastroenterology Hepatology and Nutrition/North American Society for Pediatric Gastroenterology, Hepatology and Nutrition recommendations for the diagnosis and management of H pylori infection in children and adolescents is required. METHODS: A systematic review of the literature (time period: -) was performed. Representatives of both societies evaluated the quality of evidence using GRADE (Grading of Recommendation Assessment, Development, and Evaluation) to formulate recommendations, which were voted upon and finalized using a Delphi process and face-to-face meeting. RESULTS: The consensus group recommended that invasive diagnostic testing for H pylori be performed only when treatment will be offered if tests are positive. To reach the aim of a % eradication rate with initial therapy, antibiotics should be tailored according to susceptibility testing. Therapy should be administered for days, emphasizing strict adherence. Clarithromycin-containing regimens should be restricted to children infected with susceptible strains. When antibiotic susceptibility profiles are not known, high-dose triple therapy with proton pump inhibitor, amoxicillin, and metronidazole for days or bismuth-based quadruple therapy is recommended. Success of therapy should be monitored after to weeks by reliable noninvasive tests. CONCLUSIONS: The primary goal of clinical investigation is to identify the cause of upper gastrointestinal symptoms rather than H pylori infection. Therefore, we recommend against a test and treat strategy. Decreasing eradication rates with previously recommended treatments call for changes to first-line therapies and broader availability of culture or molecular-based testing to tailor treatment to the individual child."
VPD,39,5,prevalence · infection · age,prevalence; infection; age; among; pylori; seroprevalence; population; years; in; participants,544.0,544,23995.0,44.108,2015.643,2016.0,2005,2025,5,28456631 | 17287725 | 27531531 | 29430669 | 25167938,Global Prevalence of Helicobacter pylori Infection: Systematic Review and Meta-Analysis. | An African origin for the intimate association between humans and Helicobacter pylori. | Epidemiology of Helicobacter pylori infection. | Systematic review with meta-analysis: the worldwide prevalence of Helicobacter pylori infection. | Epidemiology of Helicobacter pylori infection.,28456631,2017,3154,,Global Prevalence of Helicobacter pylori Infection: Systematic Review and Meta-Analysis.,"BACKGROUND & AIMS: The epidemiology of Helicobacter pylori infection has changed with improvements in sanitation and methods of eradication. We performed a systematic review and meta-analysis to evaluate changes in the global prevalence of H pylori infection. METHODS: We performed a systematic search of the MEDLINE and EMBASE databases for studies of the prevalence of H pylori infection published from January , through January , . We analyzed data based on United Nations geoscheme regions and individual countries. We used a random effects model to calculate pooled prevalence estimates with % confidence intervals (CIs), weighted by study size. We extrapolated prevalence estimates to obtain the estimated number of individuals with H pylori infection. RESULTS: Among , reports screened, we identified full-text articles on the prevalence of H pylori infection; were included in the final analysis, comprising data from countries. Africa had the highest pooled prevalence of H pylori infection (%; % CI, -), whereas Oceania had the lowest prevalence (%; % CI, -). Among individual countries, the prevalence of H pylori infection varied from as low as % in Switzerland (% CI, -) to % in Nigeria (% CI, -). Based on regional prevalence estimates, there were approximately billion individuals with H pylori infection worldwide in . CONCLUSIONS: In a systematic review and meta-analysis to assess the prevalence of H pylori infection worldwide, we observed large amounts of variation among regions-more than half the world's population is infected. These data can be used in development of customized strategies for the global eradication."
VPD,39,6,caga · vaca · strains,caga; vaca; strains; genotypes; epiya; gene; isolates; virulence; motifs; baba2,552.0,552,14045.0,25.444,2013.531,2013.0,2005,2025,5,17854597 | 18474244 | 18552463 | 30205817 | 20808891,"A new Helicobacter pylori vacuolating cytotoxin determinant, the intermediate region, is associated with gastric cancer. | Clinical relevance of Helicobacter pylori cagA and vacA gene polymorphisms. | Geographic differences in gastric cancer incidence can be explained by differences between Helicobacter pylori strains. | The impacts of H. pylori virulence factors on the development of gastroduodenal diseases. | A global overview of the genetic and functional diversity in the Helicobacter pylori cag pathogenicity island.",17854597,2007,424,,"A new Helicobacter pylori vacuolating cytotoxin determinant, the intermediate region, is associated with gastric cancer.","BACKGROUND & AIMS: Helicobacter pylori is the main cause of peptic ulceration and gastric adenocarcinoma. The vacuolating cytotoxin gene, vacA, is a major determinant of virulence. Two naturally polymorphic sites in vacA, the signal region and midregion, are well-characterized determinants of toxicity and markers of pathogenesis. The aim of this study was to characterize a new vacA polymorphic site, the intermediate (i) region. METHODS: The vacA i-region was identified and characterized by constructing isogenic vacA exchange mutants and determining their vacuolating activity on HeLa, AGS, and RK13 cell lines. The vacA i-region types of H pylori isolates from patients undergoing routine endoscopy were determined by nucleotide sequencing and allele-specific polymerase chain reaction. RESULTS: Two i-region types were identified, i1 and i2, and both were common among Western clinical isolates. Interestingly, only naturally occurring s1/m2 strains varied in i-type; s1/m1 and s2/m2 strains were exclusively i1 and i2, respectively. Vacuolation assays showed that i-type determined vacuolating activity among these s1/m2 strains, and exchange mutagenesis confirmed that the i-region itself was directly responsible. Using a simple i-region polymerase chain reaction-based typing system, it was shown for Iranian patients that i1-type strains were strongly associated with gastric adenocarcinoma (P < (-)). Finally, logistic regression analysis showed this association to be independent of, and larger than, associations of vacA s- or m-type or cag status with gastric adenocarcinoma. CONCLUSIONS: Together these data show that the vacA i-region is an important determinant of H pylori toxicity and the best independent marker of VacA-associated pathogenicity."
VPD,39,7,vaccine · vaccines · mice,vaccine; vaccines; mice; against; recombinant; immunization; vaccination; protection; immune; adjuvant,519.0,519,14414.0,27.773,2014.936,2015.0,2005,2025,5,33275896 | 22504179 | 26142048 | 17631150 | 28185986,"Nanoparticle Vaccines Based on the Receptor Binding Domain (RBD) and Heptad Repeat (HR) of SARS-CoV-2 Elicit Robust Protective Immune Responses. | Cell attachment protein VP8* of a human rotavirus specifically interacts with A-type histo-blood group antigen. | Efficacy, safety, and immunogenicity of an oral recombinant Helicobacter pylori vaccine in children in China: a randomised, double-blind, placebo-controlled, phase 3 trial. | Immunology of Helicobacter pylori: insights into the failure of the immune response and perspectives on vaccine studies. | A novel design of a multi-antigenic, multistage and multi-epitope vaccine against Helicobacter pylori: An in silico approach.",33275896,2020,338,,Nanoparticle Vaccines Based on the Receptor Binding Domain (RBD) and Heptad Repeat (HR) of SARS-CoV-2 Elicit Robust Protective Immune Responses.,"Various vaccine strategies have been proposed in response to the global COVID- pandemic, each with unique strategies for eliciting immune responses. Here, we developed nanoparticle vaccines by covalently conjugating the self-assembled -mer ferritin to the receptor binding domain (RBD) and/or heptad repeat (HR) subunits of the Severe Acute Respiratory Syndrome Coronavirus- (SARS-CoV-) spike (S) protein. Compared to monomer vaccines, nanoparticle vaccines elicited more robust neutralizing antibodies and cellular immune responses. RBD and RBD-HR nanoparticle vaccinated hACE2 transgenic mice vaccinated with RBD and/or RBD-HR nanoparticles exhibited reduced viral load in the lungs after SARS-CoV- challenge. RBD-HR nanoparticle vaccines also promoted neutralizing antibodies and cellular immune responses against other coronaviruses. The nanoparticle vaccination of rhesus macaques induced neutralizing antibodies, and T and B cell responses prior to boost immunization; these responses persisted for more than three months. RBD- and HR-based nanoparticles thus present a promising vaccination approach against SARS-CoV- and other coronaviruses."
VPD,39,8,drug · nanoparticles · curcumin,drug; nanoparticles; curcumin; release; delivery; chitosan; floating; microspheres; prepared; mucoadhesive,429.0,429,17708.0,41.277,2018.287,2020.0,2005,2025,5,28814725 | 22057503 | 19204190 | 32335802 | 16403588,Micromotor-enabled active drug delivery for in vivo treatment of stomach infection. | Photodynamic therapy for infections: clinical applications. | Antimicrobial activity of curcumin against Helicobacter pylori isolates from India and during infections in mice. | Biological properties and clinical applications of berberine. | Gastroretentive dosage forms: overview and special case of Helicobacter pylori.,28814725,2017,587,,Micromotor-enabled active drug delivery for in vivo treatment of stomach infection.,"Advances in bioinspired design principles and nanomaterials have led to tremendous progress in autonomously moving synthetic nano/micromotors with diverse functionalities in different environments. However, a significant gap remains in moving nano/micromotors from test tubes to living organisms for treating diseases with high efficacy. Here we present the first, to our knowledge, in vivo therapeutic micromotors application for active drug delivery to treat gastric bacterial infection in a mouse model using clarithromycin as a model antibiotic and Helicobacter pylori infection as a model disease. The propulsion of drug-loaded magnesium micromotors in gastric media enables effective antibiotic delivery, leading to significant bacteria burden reduction in the mouse stomach compared with passive drug carriers, with no apparent toxicity. Moreover, while the drug-loaded micromotors reach similar therapeutic efficacy as the positive control of free drug plus proton pump inhibitor, the micromotors can function without proton pump inhibitors because of their built-in proton depletion function associated with their locomotion.Nano- and micromotors have been demonstrated in vitro for a range of applications. Here the authors demonstrate the in-vivo therapeutic use of micromotors to treat H. pylori infection."
VPD,39,9,resistance · antibiotic · metronidazole,resistance; antibiotic; metronidazole; clarithromycin; levofloxacin; tetracycline; isolates; susceptibility; strains; amoxicillin,572.0,572,26359.0,46.082,2017.152,2019.0,2005,2025,5,29276051 | 29990487 | 22580412 | 26694080 | 34002081,"Discovery, research, and development of new antibiotics: the WHO priority list of antibiotic-resistant bacteria and tuberculosis. | Prevalence of Antibiotic Resistance in Helicobacter pylori: A Systematic Review and Meta-analysis in World Health Organization Regions. | Helicobacter pylori resistance to antibiotics in Europe and its relationship to antibiotic consumption. | Review article: the global emergence of Helicobacter pylori antibiotic resistance. | Helicobacter pylori infection and antibiotic resistance - from biology to clinical implications.",29276051,2017,5678,,"Discovery, research, and development of new antibiotics: the WHO priority list of antibiotic-resistant bacteria and tuberculosis.","BACKGROUND: The spread of antibiotic-resistant bacteria poses a substantial threat to morbidity and mortality worldwide. Due to its large public health and societal implications, multidrug-resistant tuberculosis has been long regarded by WHO as a global priority for investment in new drugs. In , WHO was requested by member states to create a priority list of other antibiotic-resistant bacteria to support research and development of effective drugs. METHODS: We used a multicriteria decision analysis method to prioritise antibiotic-resistant bacteria; this method involved the identification of relevant criteria to assess priority against which each antibiotic-resistant bacterium was rated. The final priority ranking of the antibiotic-resistant bacteria was established after a preference-based survey was used to obtain expert weighting of criteria. FINDINGS: We selected bacterial species with patterns of acquired resistance and ten criteria to assess priority: mortality, health-care burden, community burden, prevalence of resistance, -year trend of resistance, transmissibility, preventability in the community setting, preventability in the health-care setting, treatability, and pipeline. We stratified the priority list into three tiers (critical, high, and medium priority), using the 33rd percentile of the bacterium's total scores as the cutoff. Critical-priority bacteria included carbapenem-resistant Acinetobacter baumannii and Pseudomonas aeruginosa, and carbapenem-resistant and third-generation cephalosporin-resistant Enterobacteriaceae. The highest ranked Gram-positive bacteria (high priority) were vancomycin-resistant Enterococcus faecium and meticillin-resistant Staphylococcus aureus. Of the bacteria typically responsible for community-acquired infections, clarithromycin-resistant Helicobacter pylori, and fluoroquinolone-resistant Campylobacter spp, Neisseria gonorrhoeae, and Salmonella typhi were included in the high-priority tier. INTERPRETATION: Future development strategies should focus on antibiotics that are active against multidrug-resistant tuberculosis and Gram-negative bacteria. The global strategy should include antibiotic-resistant bacteria responsible for community-acquired infections such as Salmonella spp, Campylobacter spp, N gonorrhoeae, and H pylori. FUNDING: World Health Organization."
VPD,39,10,ulcer · peptic · ulcers,ulcer; peptic; ulcers; duodenal; bleeding; patients; healing; nsaid; eradication; nsaids,434.0,434,9286.0,21.396,2012.228,2011.0,2005,2025,5,18039108 | 24833849 | 27092708 | 16494583 | 15948807,"The pathogenesis of Helicobacter pylori-induced gastro-duodenal diseases. | History of Helicobacter pylori, duodenal ulcer, gastric ulcer and gastric cancer. | Eradication therapy for peptic ulcer disease in Helicobacter pylori-positive people. | Accuracy of Helicobacter pylori diagnostic tests in patients with bleeding peptic ulcer: a systematic review and meta-analysis. | Meta-analysis: role of Helicobacter pylori eradication in the prevention of peptic ulcer in NSAID users.",18039108,2007,559,,The pathogenesis of Helicobacter pylori-induced gastro-duodenal diseases.,"Helicobacter pylori is the main cause of peptic ulceration, distal gastric adenocarcinoma, and gastric lymphoma. Only % of those colonized develop disease, and pathogenesis depends upon strain virulence, host genetic susceptibility, and environmental cofactors. Virulence factors include the cag pathogenicity island, which induces proinflammatory, pro-proliferative epithelial cell signaling; the cytotoxin VacA, which causes epithelial damage; and an adhesin, BabA. Host genetic polymorphisms that lead to high-level pro-inflammatory cytokine release in response to infection increase cancer risk. Pathogenesis is dependent upon inflammation, a Th- acquired immune response and hormonal changes including hypergastrinaemia. Antral-predominant inflammation leads to increased acid production from the uninflamed corpus and predisposes to duodenal ulceration; corpus-predominant gastritis leads to hypochlorhydria and predisposes to gastric ulceration and adenocarcinoma. Falling prevalence of H. pylori in developed countries has led to a falling incidence of associated diseases. However, whether there are disadvantages of an H. pylori-free stomach, for example increased risk of esosphageal adenocarcinoma, remains unclear."
