PMID,x,y,Topic
40188024,5.3698497,6.8994036,121
39630052,5.2054377,5.159057,11
37000073,5.3536882,1.8148898,3
19940251,0.5693841,0.7421459,120
24677396,0.5422855,0.6702692,152
30878664,3.2545526,1.1824524,106
37383139,5.209607,1.7474283,3
22558275,6.3072414,2.3413877,89
19766906,2.7487926,5.4959583,119
33459087,3.6700037,7.513696,12
28839665,2.4257135,9.269574,57
16042655,3.650569,9.301535,35
28545444,0.9412777,0.6132834,-1
22686046,1.3176277,4.8198566,76
26605702,2.680199,8.45676,4
35816283,-1.7931559,10.2165165,0
36006691,-2.2778292,7.048038,13
16702611,11.086596,5.8146157,2
28545189,-1.8208572,9.47106,93
32124432,2.8621762,5.3661013,122
41132019,2.1961198,10.470969,84
38482690,-3.1642897,2.0120385,8
27531537,5.4163156,1.7950634,3
16885452,0.59391713,0.4843938,-1
40484038,-2.7132225,0.8974841,108
23821543,1.6672254,3.4369211,29
29225256,5.449736,7.6156197,29
41048485,-2.309276,9.870257,38
31384793,-1.5680727,0.8563254,44
27039823,4.6313004,5.642387,15
19321591,5.142017,3.571031,32
21896770,4.236128,2.4076917,113
24908687,-1.9210955,7.197899,34
37430109,-0.15697224,4.995866,34
17333742,-2.1323566,7.6096954,13
19248190,-2.2044334,7.301967,135
35014666,1.1977925,8.376862,55
36792546,0.66177857,4.2682877,72
28361362,-2.7075613,0.88138133,108
29166882,5.333027,5.1038027,32
36926663,0.51071703,3.082523,73
37324506,3.787494,9.426803,35
16137055,-1.885794,9.9849415,133
39167010,8.368314,10.372694,41
32878081,-1.8003834,7.0901375,58
24031961,3.224887,3.6400003,58
16468286,8.654178,10.533314,136
27070167,-1.265611,9.584866,21
21158008,2.8913088,5.61181,122
30651922,1.6501427,10.624018,36
28475740,6.4862995,6.905123,63
20155633,5.408039,5.3956532,11
28456631,1.8828057,6.9196634,5
27580605,-0.013126871,-0.23788841,40
31859080,5.377434,6.317115,138
22157086,5.203521,1.5832075,3
40765099,-0.7471902,1.8796699,74
17998829,6.8537955,8.894826,80
22754227,3.0216782,2.9718456,-1
39794766,4.1146855,6.436169,80
22404440,3.231234,2.2415924,150
30831083,3.527174,1.3241639,91
24395566,1.9489894,1.5292716,79
21382488,2.267276,0.005755758,18
37167426,4.152261,10.512858,62
16051953,11.310937,5.672591,2
21714832,2.9038293,9.175034,39
20574123,4.808848,3.5246904,23
28742407,5.619403,3.3399265,110
17652042,0.253077,7.6506896,26
30033619,-2.2381287,10.105307,133
21801243,1.1486883,0.6555185,152
27007456,0.8849717,8.103166,112
37110310,7.5634527,7.875482,15
16806003,2.38886,-0.19876303,7
34869495,-1.6830523,3.9703968,130
18080918,0.98803216,5.7828116,37
33031021,4.898548,1.6533934,129
25473179,-2.093231,7.2489095,9
31484488,2.3818576,5.352895,21
17086891,-1.448414,9.678486,93
37181032,1.8832508,9.882269,10
26877621,2.6583123,9.454146,10
26065531,-3.473048,2.0009706,8
28176656,6.010152,2.24491,103
25446105,3.9757721,0.1439496,88
19999123,2.9895887,6.382142,117
17760721,6.2291317,2.4127934,103
34291601,3.2887459,11.1085005,57
28502154,8.223271,10.470301,92
26006196,4.3496094,10.507434,62
37053262,-0.26637122,9.742226,80
41274994,0.61614925,0.652316,152
22982494,-0.4805187,1.5425699,124
31999353,2.4058838,6.481231,82
40901325,0.62529814,2.930624,73
19250983,4.299291,1.8146319,22
25980439,4.8320637,1.6564174,17
24780064,1.2607542,1.4941915,47
17241302,3.290845,11.11063,-1
17023968,0.7389686,10.746332,35
25908566,3.528458,1.8220261,68
26069142,3.9545286,1.9181932,22
34665609,0.4033528,0.671538,120
23667194,3.2741487,11.09262,28
16687031,5.3651047,10.132944,86
33405191,-1.2686013,7.808951,-1
37777740,1.6573142,6.661838,5
40739580,0.49095938,2.8345582,127
19015349,-2.6438334,6.4116845,1
17144519,9.480737,9.299916,123
31409845,1.7019234,1.009819,134
36268270,-1.7633874,10.340154,107
27129469,2.2726078,7.7732816,35
24471118,2.533283,2.429542,1
28800560,0.8249775,1.1419476,47
23267857,-0.6730831,10.684064,77
25780285,4.3909307,2.8861527,68
32964074,5.101824,7.160074,138
35469031,-2.375183,7.171762,132
23661993,-1.7831985,1.6171669,1
23216412,1.6301819,10.58739,36
24672729,3.4821799,3.5241594,58
25639278,-1.6291258,9.370448,0
33281754,1.4391123,1.9621742,25
40887995,1.8326229,9.917623,42
26612515,-2.203756,8.586946,0
22896981,0.8104509,8.753805,26
26873643,5.129107,5.4439964,11
19847485,3.2203784,1.6572273,142
39350033,6.875272,8.91576,90
17827146,-2.1861792,7.4749727,13
34267306,4.2563515,3.8261795,11
21589757,-3.4925447,2.005199,8
16155022,10.94953,5.6373467,2
17760722,3.7688813,1.3733581,60
34183534,5.4147534,5.4423494,37
35186129,4.485737,1.2265402,17
38852310,-0.17177264,0.6794418,1
26344212,4.059774,2.1678429,3
36860273,0.026140822,3.4411352,65
22335908,4.6440744,2.2628891,17
18930874,2.9951317,9.221854,39
24721956,3.566303,8.989813,39
23811829,3.9953716,2.2350836,113
24133496,3.3984303,1.4805759,52
35992644,-1.6870972,1.9218233,1
34402418,-1.2105215,3.0885768,60
